2023-06-14 16:44:17.296 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.318 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.341 | ERROR | -thread-13 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.366 | ERROR | -thread-15 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.384 | ERROR | -thread-16 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.404 | ERROR | -thread-17 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.429 | ERROR | -thread-18 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.445 | ERROR | Thread-9   | A.ElasticBulkCreator:66    | Ошибка во время индексации статей!
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[-125, -114, -52, -119, -15, -68, -10, 28, 56, 106, 70, -120, 23, -73, -74, -101]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[88, 52, -5, 18, -11, -50, 125, -27, 105, 95, -50, 58, 1, -29, 48, 40]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[56, -29, -52, -13, 79, 81, 47, -42, -76, 118, 113, -18, -68, 98, 21, -23]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[-126, 122, -96, 52, 44, -22, 97, -119, 20, -22, 90, -31, -78, 32, 26, -6]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[27, -97, -22, -112, 34, -46, 116, -62, -118, 3, 125, -11, -92, -51, -73, 118]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[6, 27, -100, 102, -102, 106, 72, -30, 19, -65, 93, 99, 1, 85, 31, -54]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[-91, -95, 56, 52, 83, -78, 127, 27, -3, -35, 25, -81, -85, -66, -10, 30]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[97, -33, 2, 126, 58, 40, 84, -59, -7, 46, -26, -9, -46, -51, 125, -1]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[28, -118, 109, 22, 93, 6, -58, -102, -10, -46, -35, 75, -106, 10, -67, -92]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.446 | ERROR | Thread-9   | A.ElasticBulkCreator:69    | [[-2, -61, -74, 11, -111, 61, 33, 67, -115, 108, 66, 86, 33, 42, 17, -8]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.450 | ERROR | 2-thread-3 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.473 | ERROR | 2-thread-4 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
